open,close,low,high,volume
160.4895,160.397,160.328,160.514,2678
160.3965,160.4115,160.3795,160.5035,2773
160.411,160.359,160.304,160.4515,2533
160.3585,160.467,160.3305,160.5195,3117
160.4675,160.551,160.4135,160.601,3491
160.5515,160.503,160.478,160.62,3116
160.503,160.405,160.3645,160.54,2920
160.403,160.2885,160.279,160.4705,2675
160.2895,160.3985,160.27,160.458,3343
160.399,160.202,160.188,160.416,3018
160.1995,160.206,160.175,160.264,2642
160.2065,160.18,160.139,160.2625,2143
160.179,160.137,160.0755,160.2315,2815
160.136,160.173,160.0795,160.2215,2328
160.1725,160.3205,160.1375,160.3205,2565
160.32,160.3235,160.256,160.3745,2657
160.322,160.2415,160.22,160.3495,2373
160.2405,160.3135,160.2105,160.356,2603
160.313,160.452,160.2785,160.4585,2285
160.453,160.574,160.453,160.5905,2798
160.573,160.684,160.519,160.7015,2931
160.6835,160.6765,160.6365,160.772,2927
160.68,160.698,160.6445,160.733,2280
160.6965,160.784,160.682,160.8425,2880
160.7825,160.684,160.676,160.801,2429
160.683,160.719,160.6345,160.74,3216
160.718,160.761,160.6755,160.81,2692
160.759,160.6125,160.5965,160.782,2570
160.612,160.61,160.561,160.6725,2165
160.609,160.653,160.5875,160.6675,2284
160.6535,160.5665,160.538,160.664,1986
160.566,160.5215,160.497,160.574,2087
160.52,160.537,160.4895,160.5425,1983
160.536,160.476,160.469,160.5395,1530
160.4755,160.4875,160.4475,160.551,2379
160.4865,160.3885,160.342,160.49,2588
160.388,160.6065,160.388,160.612,2306
160.608,160.689,160.5885,160.721,2524
160.6885,160.6975,160.6485,160.7835,2910
160.702,160.6385,160.6225,160.7325,2098
160.639,160.5395,160.5225,160.6515,2350
160.5405,160.5335,160.445,160.5645,2504
160.534,160.543,160.4915,160.577,2198
160.5435,160.628,160.5435,160.632,3208
160.627,160.486,160.412,160.633,3693
160.4855,160.2745,160.2465,160.5065,3287
160.2735,160.1795,160.16,160.3025,2747
160.181,160.312,160.1545,160.312,3044
160.3115,160.3695,160.2825,160.3925,3213
160.371,160.602,160.3555,160.6715,4722
160.6005,160.49,160.48,160.635,3319
160.4915,160.3585,160.349,160.4925,4318
160.359,160.282,160.282,160.4065,3751
160.281,160.3615,160.205,160.3765,3645
160.361,160.311,160.2575,160.387,4501
160.3105,160.247,160.221,160.3185,3222
160.2475,160.2035,160.1925,160.3105,3469
160.204,160.084,160.054,160.208,3094
160.0835,160.2245,160.016,160.2245,3222
160.223,160.1275,160.086,160.234,3005
160.127,160.1345,160.0495,160.153,2738
160.136,160.1905,160.107,160.2325,2887
160.19,160.378,160.19,160.382,2821
160.377,160.2275,160.1835,160.3775,3304
160.228,160.3155,160.153,160.325,2953
160.316,160.402,160.2835,160.4235,2983
160.4025,160.3665,160.36,160.5165,3085
160.364,160.443,160.339,160.5025,3133
160.4405,160.284,160.2685,160.485,3256
160.285,160.345,160.224,160.386,3490
160.3445,160.247,160.206,160.3635,3731
160.248,160.249,160.2165,160.3085,3572
160.2495,160.1825,160.1485,160.2615,3097
160.183,160.1265,160.0965,160.211,2739
160.1275,160.189,160.114,160.213,2814
160.1885,160.2835,160.1745,160.321,3402
160.284,160.458,160.281,160.4845,3175
160.4585,160.4405,160.4225,160.504,3610
160.442,160.3705,160.353,160.488,3036
160.37,160.335,160.2915,160.4065,2953
160.3345,160.306,160.2645,160.3455,2964
160.3065,160.3685,160.287,160.4265,2992
160.3695,160.3145,160.314,160.4055,2789
160.314,160.2685,160.2605,160.3395,3155
160.268,160.3225,160.261,160.352,3408
160.324,160.3185,160.2815,160.3655,2988
160.318,160.3875,160.2905,160.395,3115
160.387,160.3615,160.328,160.4225,2678
160.3625,160.301,160.28,160.3855,2660
160.302,160.357,160.272,160.368,2250
160.3565,160.31,160.267,160.36,2498
160.311,160.1795,160.118,160.33,2417
160.179,160.15,160.1375,160.2065,2328
160.1545,160.111,160.075,160.1985,2278
160.1105,160.115,160.05,160.1365,2222
160.1145,160.112,160.051,160.144,2598
160.1125,160.1625,160.074,160.247,2449
160.1645,160.1065,160.0665,160.1715,2387
160.106,160.048,160.046,160.138,2810
160.0475,160.106,160.031,160.149,2929
160.1035,160.085,160.072,160.1525,2714
160.0845,160.029,159.9935,160.0915,2473
160.0295,159.932,159.931,160.039,2631
159.931,159.855,159.756,159.931,2657
159.8545,159.811,159.775,159.8715,2455
159.8105,159.8425,159.798,159.8665,2511
159.8405,159.8645,159.814,159.891,2061
159.864,159.841,159.7975,159.8935,1940
159.842,159.8565,159.803,159.8635,1946
159.856,159.8285,159.809,159.93,2495
159.8305,159.768,159.746,159.831,2176
159.7675,159.724,159.706,159.7675,1794
159.723,159.7445,159.6805,159.822,2339
159.7435,159.6565,159.6445,159.765,1568
159.6575,159.596,159.581,159.6835,1724
